sample_id,meme_anxiety_categories
TR-1979,Lack of Worry Control
TR-891,Excessive Worry
TR-405,Nervousness
TR-710,Restlessness
TR-2328,Difficulty Relaxing
TR-1207,Excessive Worry
TR-2035,Lack of Worry Control
TR-1252,Excessive Worry
TR-2392,Restlessness
TR-13,Restlessness
TR-585,Impending Doom
TR-2169,Nervousness
TR-275,Difficulty Relaxing
TR-713,Difficulty Relaxing
TR-2375,Nervousness
TR-2148,Impending Doom
TR-195,Nervousness
TR-956,Difficulty Relaxing
TR-2510,Nervousness
TR-1116,Irritatbily
TR-2597,Lack of Worry Control
TR-450,Nervousness
TR-1362,Lack of Worry Control
TR-2188,Restlessness
TR-420,Excessive Worry
TR-1237,Difficulty Relaxing
TR-143,Restlessness
TR-257,Lack of Worry Control
TR-402,Lack of Worry Control
TR-1815,Restlessness
TR-1892,Impending Doom
TR-36,Excessive Worry
TR-2273,Lack of Worry Control
TR-511,Lack of Worry Control
TR-1053,Nervousness
TR-578,Restlessness
TR-311,Lack of Worry Control
TR-1133,Nervousness
TR-641,Lack of Worry Control
TR-1024,Lack of Worry Control
TR-1588,Difficulty Relaxing
TR-2460,Impending Doom
TR-1605,Difficulty Relaxing
TR-1944,Lack of Worry Control
TR-1380,Nervousness
TR-2294,Impending Doom
TR-2203,Difficulty Relaxing
TR-2315,Lack of Worry Control
TR-2123,Nervousness
TR-1806,Excessive Worry
TR-2495,Impending Doom
TR-603,Lack of Worry Control
TR-408,Excessive Worry
TR-2253,Impending Doom
TR-1184,Nervousness
TR-2251,Excessive Worry
TR-2095,Lack of Worry Control
TR-976,Lack of Worry Control
TR-2224,Impending Doom
TR-549,Restlessness
TR-825,Excessive Worry
TR-1976,Restlessness
TR-1967,Difficulty Relaxing
TR-2083,Nervousness
TR-1387,Nervousness
TR-569,Difficulty Relaxing
TR-141,Impending Doom
TR-2048,Impending Doom
TR-631,Lack of Worry Control
TR-2391,Impending Doom
TR-721,Irritatbily
TR-2363,Difficulty Relaxing
TR-465,Difficulty Relaxing
TR-815,Difficulty Relaxing
TR-958,Excessive Worry
TR-1546,Restlessness
TR-929,Restlessness
TR-2047,Nervousness
TR-2406,Excessive Worry
TR-917,Excessive Worry
TR-2186,Impending Doom
TR-267,Difficulty Relaxing
TR-872,Nervousness
TR-1308,Impending Doom
TR-617,Nervousness
TR-2190,Excessive Worry
TR-1105,Irritatbily
TR-869,Nervousness
TR-308,Excessive Worry
TR-237,Restlessness
TR-1165,Lack of Worry Control
TR-2298,Restlessness
TR-2515,Lack of Worry Control
TR-2403,Irritatbily
TR-2283,Restlessness
TR-317,Nervousness
TR-417,Impending Doom
TR-1822,Impending Doom
TR-1529,Irritatbily
TR-100,Restlessness
TR-772,Restlessness
TR-1371,Lack of Worry Control
TR-1990,Excessive Worry
TR-2242,Irritatbily
TR-145,Restlessness
TR-583,Difficulty Relaxing
TR-105,Excessive Worry
TR-1166,Excessive Worry
TR-572,Excessive Worry
TR-1945,Impending Doom
TR-2275,Excessive Worry
TR-483,Impending Doom
TR-1643,Restlessness
TR-512,Lack of Worry Control
TR-249,Impending Doom
TR-1996,Difficulty Relaxing
TR-300,Restlessness
TR-1340,Lack of Worry Control
TR-130,Nervousness
TR-295,Lack of Worry Control
TR-714,Impending Doom
TR-2492,Irritatbily
TR-2172,Excessive Worry
TR-626,Impending Doom
TR-315,Restlessness
TR-2398,Lack of Worry Control
TR-1058,Difficulty Relaxing
TR-841,Excessive Worry
TR-353,Lack of Worry Control
TR-734,Lack of Worry Control
TR-1140,Restlessness
TR-1513,Nervousness
TR-1107,Restlessness
TR-635,Excessive Worry
TR-144,Irritatbily
TR-1160,Difficulty Relaxing
TR-647,Nervousness
TR-2263,Difficulty Relaxing
TR-1510,Restlessness
TR-1969,Restlessness
TR-2482,Lack of Worry Control
TR-711,Irritatbily
TR-1921,Excessive Worry
TR-1425,Excessive Worry
TR-1338,Restlessness
TR-441,Impending Doom
TR-787,Nervousness
TR-2183,Excessive Worry
TR-2353,Difficulty Relaxing
TR-78,Difficulty Relaxing
TR-452,Excessive Worry
TR-1709,Nervousness
TR-2166,Excessive Worry
TR-1287,Impending Doom
TR-521,Irritatbily
TR-1962,Excessive Worry
TR-1896,Excessive Worry
TR-1206,Irritatbily
TR-1496,Lack of Worry Control
TR-1075,Difficulty Relaxing
TR-1025,Excessive Worry
TR-1838,Impending Doom
TR-1502,Impending Doom
TR-1577,Lack of Worry Control
TR-2293,Restlessness
TR-2324,Restlessness
TR-1295,Restlessness
TR-1949,Difficulty Relaxing
TR-1847,Excessive Worry
TR-645,Nervousness
TR-2034,Restlessness
TR-750,Nervousness
TR-2187,Nervousness
TR-819,Irritatbily
TR-2150,Excessive Worry
TR-1316,Difficulty Relaxing
TR-2209,Impending Doom
TR-797,Lack of Worry Control
TR-2098,Lack of Worry Control
TR-681,Nervousness
TR-171,Restlessness
TR-39,Lack of Worry Control
TR-128,Lack of Worry Control
TR-2605,Excessive Worry
TR-205,Difficulty Relaxing
TR-975,Impending Doom
TR-2007,Difficulty Relaxing
TR-1467,Irritatbily
TR-252,Irritatbily
TR-820,Difficulty Relaxing
TR-948,Lack of Worry Control
TR-2362,Restlessness
TR-210,Nervousness
TR-1232,Excessive Worry
TR-1654,Lack of Worry Control
TR-57,Excessive Worry
TR-2269,Excessive Worry
TR-1414,Restlessness
TR-1782,Lack of Worry Control
TR-525,Difficulty Relaxing
TR-1768,Excessive Worry
TR-2066,Impending Doom
TR-470,Difficulty Relaxing
TR-1072,Difficulty Relaxing
TR-2133,Impending Doom
TR-113,Impending Doom
TR-80,Lack of Worry Control
TR-1118,Impending Doom
TR-1490,Restlessness
TR-487,Impending Doom
TR-1331,Impending Doom
TR-70,Excessive Worry
TR-2049,Restlessness
TR-1256,Lack of Worry Control
TR-1001,Impending Doom
TR-899,Difficulty Relaxing
TR-122,Lack of Worry Control
TR-2427,Impending Doom
TR-817,Lack of Worry Control
TR-1158,Restlessness
TR-2161,Difficulty Relaxing
TR-2018,Lack of Worry Control
TR-1521,Restlessness
TR-1385,Excessive Worry
TR-1591,Lack of Worry Control
TR-665,Restlessness
TR-2513,Difficulty Relaxing
TR-403,Excessive Worry
TR-2006,Impending Doom
TR-26,Impending Doom
TR-1277,Impending Doom
TR-251,Irritatbily
TR-1656,Nervousness
TR-1983,Difficulty Relaxing
TR-1307,Difficulty Relaxing
TR-1384,Lack of Worry Control
TR-1099,Difficulty Relaxing
TR-1826,Difficulty Relaxing
TR-2459,Lack of Worry Control
TR-2480,Difficulty Relaxing
TR-48,Difficulty Relaxing
TR-2061,Restlessness
TR-1420,Impending Doom
TR-423,Difficulty Relaxing
TR-1628,Restlessness
TR-1319,Lack of Worry Control
TR-2474,Impending Doom
TR-355,Excessive Worry
TR-2572,Lack of Worry Control
TR-432,Difficulty Relaxing
TR-2606,Impending Doom
TR-1224,Restlessness
TR-2485,Excessive Worry
TR-91,Difficulty Relaxing
TR-1902,Restlessness
TR-1657,Nervousness
TR-789,Impending Doom
TR-2481,Restlessness
TR-1245,Irritatbily
TR-1369,Impending Doom
TR-1142,Nervousness
TR-2056,Excessive Worry
TR-2295,Lack of Worry Control
TR-537,Difficulty Relaxing
TR-2233,Restlessness
TR-963,Difficulty Relaxing
TR-1718,Difficulty Relaxing
TR-2503,Impending Doom
TR-991,Restlessness
TR-1154,Nervousness
TR-697,Nervousness
TR-1635,Nervousness
TR-1592,Impending Doom
TR-1868,Nervousness
TR-2213,Restlessness
TR-329,Irritatbily
TR-813,Impending Doom
TR-2502,Lack of Worry Control
TR-751,Impending Doom
TR-937,Restlessness
TR-563,Impending Doom
TR-2101,Nervousness
TR-235,Restlessness
TR-2033,Restlessness
TR-1195,Lack of Worry Control
TR-1039,Lack of Worry Control
TR-1011,Lack of Worry Control
TR-481,Lack of Worry Control
TR-1906,Restlessness
TR-2024,Restlessness
TR-137,Nervousness
TR-1664,Nervousness
TR-314,Lack of Worry Control
TR-1585,Nervousness
TR-1244,Excessive Worry
TR-196,Nervousness
TR-561,Restlessness
TR-903,Difficulty Relaxing
TR-799,Nervousness
TR-2381,Impending Doom
TR-2326,Lack of Worry Control
TR-2557,Nervousness
TR-228,Impending Doom
TR-1618,Nervousness
TR-1729,Nervousness
TR-1102,Nervousness
TR-2511,Impending Doom
TR-2374,Excessive Worry
TR-1449,Restlessness
TR-1819,Restlessness
TR-836,Impending Doom
TR-700,Excessive Worry
TR-1726,Restlessness
TR-1396,Excessive Worry
TR-612,Nervousness
TR-2599,Lack of Worry Control
TR-391,Difficulty Relaxing
TR-574,Lack of Worry Control
TR-1155,Nervousness
TR-2501,Nervousness
TR-2177,Nervousness
TR-638,Difficulty Relaxing
TR-894,Difficulty Relaxing
TR-837,Excessive Worry
TR-514,Impending Doom
TR-2436,Nervousness
TR-2409,Nervousness
TR-661,Restlessness
TR-1326,Irritatbily
TR-1373,Nervousness
TR-2323,Restlessness
TR-1419,Nervousness
TR-372,Lack of Worry Control
TR-1279,Excessive Worry
TR-1584,Lack of Worry Control
TR-381,Lack of Worry Control
TR-460,Excessive Worry
TR-1265,Difficulty Relaxing
TR-183,Irritatbily
TR-2447,Lack of Worry Control
TR-1854,Lack of Worry Control
TR-335,Excessive Worry
TR-518,Lack of Worry Control
TR-1533,Impending Doom
TR-368,Restlessness
TR-2046,Excessive Worry
TR-1100,Difficulty Relaxing
TR-562,Lack of Worry Control
TR-695,Restlessness
TR-2171,Difficulty Relaxing
TR-64,Excessive Worry
TR-2216,Nervousness
TR-1720,Nervousness
TR-818,Excessive Worry
TR-1188,Difficulty Relaxing
TR-2448,Impending Doom
TR-1196,Difficulty Relaxing
TR-534,Nervousness
TR-2477,Nervousness
TR-581,Difficulty Relaxing
TR-1595,Restlessness
TR-236,Restlessness
TR-1934,Lack of Worry Control
TR-2368,Irritatbily
TR-2274,Excessive Worry
TR-2603,Difficulty Relaxing
TR-2438,Restlessness
TR-1648,Restlessness
TR-31,Lack of Worry Control
TR-1003,Difficulty Relaxing
TR-1372,Lack of Worry Control
TR-1621,Impending Doom
TR-1645,Excessive Worry
TR-425,Lack of Worry Control
TR-54,Lack of Worry Control
TR-298,Excessive Worry
TR-1816,Impending Doom
TR-1145,Difficulty Relaxing
TR-972,Excessive Worry
TR-2488,Restlessness
TR-1156,Difficulty Relaxing
TR-1509,Difficulty Relaxing
TR-1356,Excessive Worry
TR-579,Impending Doom
TR-504,Difficulty Relaxing
TR-1547,Restlessness
TR-1433,Irritatbily
TR-1572,Difficulty Relaxing
TR-990,Impending Doom
TR-227,Restlessness
TR-584,Excessive Worry
TR-12,Nervousness
TR-1328,Restlessness
TR-2423,Lack of Worry Control
TR-2456,Excessive Worry
TR-848,Excessive Worry
TR-1520,Nervousness
TR-629,Excessive Worry
TR-224,Difficulty Relaxing
TR-1458,Impending Doom
TR-2461,Restlessness
TR-2432,Excessive Worry
TR-2446,Lack of Worry Control
TR-357,Restlessness
TR-1539,Restlessness
TR-383,Restlessness
TR-656,Restlessness
TR-785,Nervousness
TR-2505,Lack of Worry Control
TR-2051,Difficulty Relaxing
TR-2135,Excessive Worry
TR-663,Excessive Worry
TR-263,Nervousness
TR-33,Difficulty Relaxing
TR-1010,Excessive Worry
TR-1495,Nervousness
TR-1033,Impending Doom
TR-444,Impending Doom
TR-1558,Restlessness
TR-1668,Difficulty Relaxing
TR-2207,Excessive Worry
TR-2364,Difficulty Relaxing
TR-2490,Restlessness
TR-822,Restlessness
TR-1019,Difficulty Relaxing
TR-1641,Impending Doom
TR-223,Impending Doom
TR-241,Restlessness
TR-1324,Excessive Worry
TR-821,Lack of Worry Control
TR-238,Excessive Worry
TR-469,Difficulty Relaxing
TR-2267,Impending Doom
TR-1103,Nervousness
TR-2393,Restlessness
TR-2069,Lack of Worry Control
TR-2289,Nervousness
TR-729,Nervousness
TR-1218,Restlessness
TR-881,Excessive Worry
TR-709,Nervousness
TR-1463,Excessive Worry
TR-2121,Restlessness
TR-2379,Nervousness
TR-1012,Nervousness
TR-1235,Irritatbily
TR-1655,Excessive Worry
TR-42,Difficulty Relaxing
TR-749,Difficulty Relaxing
TR-1486,Excessive Worry
TR-864,Difficulty Relaxing
TR-2544,Restlessness
TR-2586,Difficulty Relaxing
TR-1757,Restlessness
TR-1612,Excessive Worry
TR-246,Impending Doom
TR-1575,Restlessness
TR-2097,Impending Doom
TR-2221,Difficulty Relaxing
TR-1238,Irritatbily
TR-303,Impending Doom
TR-1009,Lack of Worry Control
TR-1275,Difficulty Relaxing
TR-1104,Restlessness
TR-1173,Excessive Worry
TR-796,Impending Doom
TR-1733,Difficulty Relaxing
TR-397,Nervousness
TR-2584,Nervousness
TR-1092,Impending Doom
TR-1388,Difficulty Relaxing
TR-2602,Lack of Worry Control
TR-2358,Impending Doom
TR-430,Impending Doom
TR-627,Excessive Worry
TR-2333,Impending Doom
TR-1214,Impending Doom
TR-1306,Restlessness
TR-165,Restlessness
TR-153,Impending Doom
TR-343,Nervousness
TR-1048,Restlessness
TR-806,Restlessness
TR-590,Difficulty Relaxing
TR-2013,Restlessness
TR-1590,Impending Doom
TR-2380,Impending Doom
TR-1127,Lack of Worry Control
TR-1881,Restlessness
TR-1692,Excessive Worry
TR-829,Excessive Worry
TR-2387,Difficulty Relaxing
TR-226,Nervousness
TR-636,Restlessness
TR-135,Impending Doom
TR-290,Lack of Worry Control
TR-2092,Impending Doom
TR-1883,Lack of Worry Control
TR-1743,Impending Doom
TR-1531,Restlessness
TR-2250,Nervousness
TR-2285,Nervousness
TR-359,Impending Doom
TR-1522,Excessive Worry
TR-1875,Excessive Worry
TR-1900,Restlessness
TR-1023,Excessive Worry
TR-949,Difficulty Relaxing
TR-2493,Difficulty Relaxing
TR-1175,Nervousness
TR-2255,Difficulty Relaxing
TR-1992,Lack of Worry Control
TR-240,Difficulty Relaxing
TR-2390,Restlessness
TR-109,Restlessness
TR-1619,Impending Doom
TR-2546,Lack of Worry Control
TR-2365,Irritatbily
TR-1653,Excessive Worry
TR-1469,Difficulty Relaxing
TR-543,Nervousness
TR-692,Impending Doom
TR-724,Impending Doom
TR-502,Difficulty Relaxing
TR-1606,Impending Doom
TR-2484,Restlessness
TR-839,Excessive Worry
TR-690,Difficulty Relaxing
TR-2077,Nervousness
